Fecha,Temperatura,T Max,T Min,Humedad,H_R Max,H_M Min,Precipitacion,Direccion,Velocidad
12/06/2018 12:15:00,"10,62","10,705","10,535","80,305","81,47","78,915","0,1","158,445","3,77"
12/06/2018  12:20:00,"10,48","10,54","10,42","80,58","81,05","80,11","0,2","153,89","3,14"
12/06/2018  12:25:00,"10,56","10,67","10,51","79,38","81,61","78,01",0,"160,29","4,39"
12/06/2018  12:30:00,"10,81","11,04","10,61","78,56","79,58","77,97",0,"163,16","4,68"
12/06/2018  12:35:00,"11,11","11,26","11,03","77,3","79,39","75,92",0,"172,57","3,13"
12/06/2018  12:40:00,"11,21","11,47","11,05","78,76","81,36","77,82",0,"164,93","4,32"
12/06/2018  12:45:00,"11,85","11,99","11,72","75,84","77,68","74,49",0,"168,77","4,1"
12/06/2018  12:50:00,"11,3","11,66","11,08","75,38","76,56","74,1",0,"163,68","4,9"
12/06/2018  12:55:00,"11,02","11,21","10,84","76,03","77,2","75,32",0,"158,32","5,13"
12/06/2018  13:00:00,"10,7","10,85","10,51","78,36","80,03","76,91",0,"155,12","5,87"
12/06/2018  13:05:00,"11,23","11,41","11,07","80,4","81,56","78,43",0,"159,32","4,88"
12/06/2018  13:10:00,"11,15","11,23","11,12","79,59","80,22","78,59",0,"159,64","5,24"
12/06/2018  13:15:00,"11,01","11,07","10,93","80,75","82,21","79,46",0,"161,78","5,33"
12/06/2018  13:20:00,"11,37","11,45","11,24","80,46","82,14","79,49",0,"164,15","5,73"
12/06/2018  13:25:00,"11,33","11,44","11,21","80,2","81,78","77,64",0,"169,33","4,4"
12/06/2018  13:30:00,"10,96","11,24","10,77","80,96","81,48","80,48",0,"162,12","4,7"
12/06/2018  13:35:00,"11,12","11,26","10,97","80,32","81,27","78,8",0,"158,68","5,16"
12/06/2018  13:40:00,"11,37","11,66","10,89","78,84","82,11","76,93",0,"165,58","3,06"
12/06/2018  13:45:00,"11,88","12,1","11,67","77,02","78,37","74,55",0,"161,45","3,59"
12/06/2018  13:50:00,"11,97","12,4","11,61","76,75","77,36","75,86",0,"165,1","4,79"
12/06/2018  13:55:00,"11,33","11,46","11,22","76,57","77,32","75,96",0,"154,02","5,72"
12/06/2018  14:00:00,"11,38","11,51","11,17","76,78","78,73","75,13",0,"160,02","4,53"
12/06/2018  14:05:00,"11,54","11,65","11,3","77,13","77,69","76,48",0,"161,44","5,19"
12/06/2018  14:10:00,"11,66","11,97","11,33","77,01","78,06","76,14",0,"157,68","4,88"
12/06/2018  14:15:00,"11,93",12,"11,85","76,39","77,83","74,29",0,"158,82","5,83"
12/06/2018  14:20:00,"12,14","12,37","11,89","74,59","76,16","72,12",0,"159,96","5,45"
12/06/2018  14:25:00,"11,82","12,2","11,6","74,22","74,97","73,1",0,"154,79","3,19"
12/06/2018  14:30:00,"12,52","12,64","12,38","70,24","71,61","68,63",0,"149,35","2,78"
12/06/2018  14:35:00,"12,3","12,59","12,09","71,42","72,08","71,07",0,"179,51","3,83"
12/06/2018  14:40:00,"12,04","12,17","11,79",72,"73,08","71,06",0,"161,62","4,45"
12/06/2018  14:45:00,"12,23","12,6","11,83","71,67","73,06","69,62",0,"155,73","6,11"
12/06/2018  14:50:00,"11,78","12,06","11,6","71,34","71,93","70,51",0,"152,93","5,78"
12/06/2018  14:55:00,"11,97","12,29","11,69","71,32","72,33","70,61",0,"163,4","5,2"
12/06/2018  15:00:00,"11,74","11,88","11,58","71,37","72,26","69,87",0,"162,81","4,92"
12/06/2018  15:05:00,"11,9","12,02","11,75","70,68","71,67","69,24",0,"162,24","5,44"
12/06/2018  15:10:00,"11,71","11,79","11,63","71,94","72,34","71,4",0,"160,45","5,32"
12/06/2018  15:15:00,"11,9","12,13","11,69","71,59","72,12","70,72",0,"158,4","4,99"
12/06/2018  15:20:00,"11,66","11,92","11,44","72,15","73,17","71,34",0,"164,45","3,23"
12/06/2018  15:25:00,"11,33","11,44","11,28","73,27","73,96","72,74",0,"148,52","3,31"
12/06/2018  15:30:00,"12,52","13,09","11,78","72,02","74,86","68,05",0,"162,49","1,93"
12/06/2018  15:35:00,"12,65","12,73","12,55","69,37","72,42","67,59",0,"152,48","2,38"
12/06/2018  15:40:00,"13,01","13,21","12,9","68,35","68,83","67,59",0,"170,09","2,33"
12/06/2018  15:45:00,"12,41","12,76","12,17","69,73","70,5","68,66",0,"159,12","4,23"
12/06/2018  15:50:00,"11,76","12,35","11,52","72,79","74,02","71,36",0,"158,17","6,11"
12/06/2018  15:55:00,"11,19","11,34","11,1","74,57","75,42","73,72",0,"157,5","3,6"
12/06/2018  16:00:00,"11,21","11,27","11,13","75,32","76,64","74,09",0,"141,83","2,24"
12/06/2018  16:05:00,"11,33","11,52","11,17","75,83","77,08","74,71",0,"141,53","3,06"
12/06/2018  16:10:00,"10,97","11,23","10,75","78,04","78,67","77,39",0,"157,29","5,15"
12/06/2018  16:15:00,"10,47","10,69","10,29","80,42","81,37","79,54",0,"157,42","5,17"
12/06/2018  16:20:00,"10,32","10,46","10,25","82,28","82,67","81,6",0,"160,28","4,07"
